reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,LAYER 1,LAYER 2,LAYER 3,LAYER 4,LAYER 5
c26220ce-362b-46e9-8bec-cb4aff2add16,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi bobrok,lapor pengaduan 2x di riwayat pengaduanya ga ada",1,0,5.2.77,2026-02-18 23:13:18,"Admin sangat menyayangkan atas kendala yg terjadi. Saran admin buat Kk, mohon dicoba Clear Cache perangkatnya dulu & pastikan jg koneksi yg digunakan dlm keadaan stabil. Bila msh terkendala, Kk dpt infokan ke media layanan resmi PLN. Admin trs berusaha optimalkan kualitas fitur apk demi kenyamanan pengguna agar trs jd platform terbaik. Tks. :) -SH",2026-02-19 02:13:11,5.2.77,1. APLIKASI,1. KETENAGALISTRIKAN,4. Pengaduan,1. Lacak Pengaduan Anda,1. Status Pengaduan Tidak Update
7c17c359-df22-4dc8-bb64-fe0ff91c9ae5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Petugas banyak yang NIPU, aplikasi banyak bug.. LENGKAP PLN",1,0,,2026-02-18 20:53:52,"Maaf Kk Ikbal jk ada hal yg kurang berkanan dr petugas kami, tentu hal tsb sgt tdk dibenarkan. Sbg bentuk tanggapan kami, Kk bs adukan hal tsb via fitur Live Chat, CS kami siap tindak lanjuti & bantu penyelesaian problemnya. Utk kendala apk silakan di update ke versi terbaru. Kemudian, Kk bs cb Clear Cache & jaga slalu kestabilan koneksinya. :) -SH",2026-02-19 02:00:18,,2. LAYANAN,1. KETENAGALISTRIKAN,2. Pengaduan,"3. Pengaduan Pasang Baru, Perubahan Daya dan Penyambungan Sementara",4. Ketidaksesuaian Layanan Petugas Unit
ddc74e74-fcbc-41e5-9c1a-52a23d0b00ee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,lemot,1,0,,2026-02-18 20:39:54,"Pgi Kak Heri, mimin menyayangkan atas kendalanya. Sbg solusi, segera lakukan update ke versi terbaru & coba Clear Cache perangkat ya. Pastikan jg koneksi stabil selama proses penggunaan fitur. Jk msh ada hambatan, yuk beritahu mimin melalui sosial media PLN, agar dibantu lbh maksimal. PLN berupaya menghadirkan apk yg nyaman digenggaman plgn. :) -SH",2026-02-19 01:31:01,,3. UMUM,Keluhan Teknis secara Aplikasi,,,
ae9e3ae2-a29e-4513-b4a0-7e9b414c1158,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi Bagus, Pelayanan mengecewakan sudah 4 jam pemadaman, status petugas masih dalam perjalanan.",1,0,5.2.78,2026-02-18 17:42:11,"Mhn maaf Kak Hafiez, jk performa layanan kami blm cepat dlm menanggapi aduan Kk. Perihal laporan dgn no. G14260218XXXXX, tlah admin FU kmbali ke Unit terkait agar dimaksimalkan penormalan jg penanganannya ya Kak. PLN trs berusaha meningkatkan pelayanan yg berkualitas demi kenyamanan & kepuasan Plgn dlm menyelesaikan persoalan kelistrikan. Tks. -SH",2026-02-19 01:22:29,5.2.78,2. LAYANAN,1. KETENAGALISTRIKAN,2. Pengaduan,"1. Pengaduan Listrik Padam/Keandalan Jaringan
Distribusi",1. Respon Lambat terhadap Laporan Padam
fd5eac6e-8243-4bd4-acca-c08578aac332,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mau ngelacak doang loading nya lama banget wkwkwk, ini yang rating akun fake ya? wkwkwkwkw",1,0,5.2.77,2026-02-18 17:35:38,"Pgi Kak, mhn maaf ats kendala yang dialami. Agr apk berjalan optimal, silakan cb lakukan Clear Cache terlebih dulu & pastikan koneksi internet stabil. Bila masalah masih berlanjut, Kk bisa hub CS via sosial media PLN 123, agr dibantu lbh lanjut. PLN trs meningkatkan performa fitur spy plgn lebih aman & nyaman dlm bertransaksi di PLN Mobile. :) -SH",2026-02-19 01:12:42,5.2.77,3. UMUM,Keluhan Teknis secara Aplikasi,,,
98f89538-de00-4cc9-80fd-1a21fd3eef6e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi gk guna, percuma lapor, lewat dari 3 jam belum d tangani, lapor balik jg gk bs",1,2,5.2.77,2026-02-18 16:13:08,"Maafkan admin, jk laporan Kk blm mendapatkan respon. Menindaklanjuti pengaduan Kk Mahli, mohon kesediaan Kk dpt infokan ke fitur Live Chat, agar CS admin bs FU kembali aduan Kk ke Unitnya. Tentu ulasan Kk akan jd atensi mimin terhadap kualitas & performa layanan ke depannya utk lbh responsif lg, karena kepuasan Plgn adalah prioritas PLN. Tks :) -MF",2026-02-19 01:58:35,5.2.77,2. LAYANAN,1. KETENAGALISTRIKAN,2. Pengaduan,1. Pengaduan Listrik Padam/Keandalan Jaringan Distribusi,1. Respon Lambat terhadap Laporan Padam
062e50a8-c130-4662-838a-45ca3580843c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ruwet,1,0,5.2.77,2026-02-18 15:53:15,"Mimin cb berusaha memahami keluhan Kk ya. Jk ada problem kelistrikan, Kk Alfi dpt adukan ke fitur Pengaduan di apk/ Kk bs bagikan kronologisnya jg melalui fitur Live Chat, disana CS mimin siap melayani berikut mancarikan solusi yg Kk butuhkan ya. PLN senantiasa memberikan pelayanan maksimal & hadirkan platform terbaik demi kenyamanan Plgn. Tks. -MF",2026-02-19 01:55:09,5.2.77,3. UMUM,Tidak Deskriptif,,,
8c543240-74fb-445f-8ef7-0a3da08160ea,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Beberapa kali pengaduan selalu ""dibatalkan oleh pelanggan"" padahal dari pihak kami tidak ernah membatalkan pengaduan",1,0,5.2.77,2026-02-18 15:34:56,"Halo Kak Acenov. Maaf bila ada pembatalan atas pengaduan yg Kk ajukan, mimin siap evaluasi kembali agar hal tsb tdk terulang utk ke depannya. Menindaklanjuti kendalanya, Kk bs utarakan ke CS mimin via fitur Live Chat, utk ditelusuri & di FU lbh lanjut. Mimin trs berusaha & siap meningkatkan kualitas pelayanan yg lbh efektif & responsif. Tks. :) -MF",2026-02-19 01:52:23,5.2.77,2. LAYANAN,1. KETENAGALISTRIKAN,2 Pengaduan,4. Keluhan Layanan Kelistrikan,2. Keluhan Selesai/Batal tanpa Ditindaklanjuti
a96231b7-aeda-4549-b624-b06eba346989,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi ga jelas, mau pengaduan malah muter2, udh di bersihin cache masih sama aja, coba telpon call center ga bisa, aduh plis deh mentang2 BUMN tanpa saingan begitu ya pelayanannya.",1,0,5.2.77,2026-02-18 15:34:14,"Admin sangat menyayangkan atas kendala yg terjadi. Merespon ulasannya jk Kk Aditya sdh lakukan Clear Cache pd perangkat yg digunakan, mohon make sure jg koneksi yg digunakan ttp stabil ya. Lalu, Kk bs cb kembali fitur Pengaduan mandiri PLN Mobile/ seumpama msh terkendala, Kk dpt adukan ke CS admin di fiur Live Chat yg selalu siaga bantu Kk. Tks -MF",2026-02-19 01:43:11,5.2.77,1. APLIKASI,1. KETENAGALISTRIKAN,4. Pengaduan,7. Layanan Kelistrikan,1. Tidak Bisa Submit Pengaduan
66d7360b-497a-4ed9-a9c8-f88eb38082ad,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pembayaran kadaluwarsa wae,, tekaharti ah",1,0,5.2.77,2026-02-18 15:16:02,"Kak Jejen, maaf atas keluhannya. PLN siap menyelidiki & menyelesaikan persoalan trx Kk dgn maksimal. Mohon dibantu follow up detail kendala trx nya dgn klik fitur Live Chat, agar CS bs berkoordinasi dgn tim terkait ya. PLN tetap berkomitmen utk trs meningkatkan pelayanan scra transparan & memaksimalkan kualitas fitur demi kepuasan pengguna. Tks -IP",2026-02-18 15:32:45,5.2.77,1. APLIKASI,1. KETENAGALISTRIKAN,2. Token & Pembayaran,2. Beli Token,2. Status Payment Gagal tapi Saldo Terpotong
